player_name,team_abbreviation,age,draft_number,gp,pts,reb,ast,umapX,umapY,ptsNorm,rebNorm,astNorm
RJ Hunter,BOS,22,28,36,2.7,1,0.4,1.5229788,6.5009604,-1.000487806,-1.089577898,-0.812819934
Richard Jefferson,CLE,36,13,74,5.5,1.7,0.8,4.5942326,5.904686,-0.504615526,-0.798534643,-0.584861596
Quincy Acy,SAC,25,37,59,5.2,3.2,0.5,5.6606855,7.8812723,-0.557744699,-0.174870527,-0.755830349
Paul Pierce,LAC,38,10,68,6.1,2.7,1,5.770191,6.8534565,-0.39835718,-0.382758566,-0.470882427
Paul Millsap,ATL,31,47,81,17.1,9,3.3,11.861758,5.5618577,1.54971249,2.236630724,0.839878014
Paul George,IND,26,10,81,23.1,7,4.1,11.383545,4.539204,2.612295947,1.405078568,1.295794689
Pau Gasol,CHI,35,3,72,16.5,11,4.1,11.95439,5.5909553,1.443454144,3.068182879,1.295794689
Patty Mills,SAS,27,55,81,8.5,2,2.8,6.809741,3.5646515,0.026676202,-0.67380182,0.554930092
Patrick Patterson,TOR,27,14,79,6.9,4.3,1.2,8.146369,7.7383313,-0.256679386,0.282483159,-0.356903259
Patrick Beverley,HOU,27,42,71,9.9,3.5,3.4,7.6179404,3.338786,0.274612342,-0.050137703,0.896867598
Pat Connaughton,POR,23,41,34,1.1,0.9,0.3,-0.17436157,7.0258713,-1.283843394,-1.131155505,-0.869809518
Pablo Prigioni,LAC,39,Undrafted,59,2.5,1.9,2.2,4.89663,4.0075836,-1.035907254,-0.715379428,0.212992585
PJ Tucker,PHX,31,35,82,8,6.2,2.2,10.585957,7.8840427,-0.061872419,1.072457706,0.212992585
PJ Hairston,MEM,23,26,66,6.2,2.6,0.6,5.4014816,7.0547366,-0.380647456,-0.424336173,-0.698840765
Otto Porter Jr.,WAS,23,3,75,11.6,5.2,1.6,10.007545,6.587107,0.575677655,0.656681629,-0.128944921
Phil Pressey,POR,25,Undrafted,23,3.3,1.3,3.3,5.6960034,3.2747464,-0.89422946,-0.964845074,0.839878014
Shelvin Mack,UTA,26,34,52,8.6,2.5,3.6,7.212549,3.1823785,0.044385927,-0.465913781,1.010846767
Richaun Holmes,PHI,22,37,51,5.6,2.6,0.6,5.1644535,7.175287,-0.486905802,-0.424336173,-0.698840765
Robert Covington,PHI,25,Undrafted,67,12.8,6.3,1.4,10.676757,6.6319885,0.788194346,1.114035314,-0.24292409
Shaun Livingston,GSW,30,4,78,6.3,2.2,3,6.2109246,3.2862604,-0.362937732,-0.590646604,0.668909261
Shane Larkin,BKN,23,18,78,7.3,2.3,4.4,6.916805,2.8048337,-0.185840489,-0.549068997,1.466763442
Shabazz Napier,ORL,24,24,55,3.7,1,1.8,3.9472833,4.503243,-0.823390563,-1.089577898,-0.014965752
Shabazz Muhammad,MIN,23,14,82,10.5,3.3,0.6,7.7152405,6.1875367,0.380870688,-0.133292919,-0.698840765
Seth Curry,SAC,25,Undrafted,44,6.8,1.4,1.5,5.0853634,5.508548,-0.27438911,-0.923267467,-0.185934505
Sergey Karasev,BKN,22,19,40,2.4,1.5,0.9,2.562855,5.755591,-1.053616979,-0.881689859,-0.527872012
Serge Ibaka,OKC,26,24,78,12.6,6.8,0.8,10.792357,6.66949,0.752774898,1.321923353,-0.584861596
